instance,num_demands,num_failure_links,solver,status,objective_value,num_affected_demands,num_recovered_affected_demands,recovery_ratio,num_migrated_demands,extra_migrations,num_failed_demands,num_route_only_migrations,num_route_and_spectrum_migrations,num_spectrum_only_migrations,num_unchanged_migrations,num_spectrum_changes,total_migrated_path_length,average_migrated_path_length,max_used_slot,running_time,migration_order
oP_L1_5x_Teff_iEuropean_18_40_d70_b_ofNLUS_f0_cd1_os1_gn0_b1_r0_cu0_p2,70,1,gurobi,OPTIMAL,0.0,6,6,1.0,6,0,0,0,6,0,0,6,10126.0,1687.666667,105,25.493079,5 -> 7 -> 49 -> 56 -> 62 -> 37
oP_L1_5x_Teff_iEuropean_18_40_d70_b_ofNLUS_f0_cd1_os1_gn0_b1_r0_cu0_p2,70,1,greedy,FEASIBLE,,6,6,1.0,6,0,0,0,6,0,0,6,10126.0,1687.666667,54,0.078063,56 -> 37 -> 7 -> 5 -> 62 -> 49
