demand,affected,nominal_path,nominal_fs,gurobi_path,gurobi_fs,gurobi_migration_type,greedy_path,greedy_fs,greedy_migration_type
1,False,15 -> 9 -> 2,[19; 24],,,not_migrated,2 -> 10 -> 9,[7; 12],route_and_spectrum
4,True,11 -> 3 -> 18 -> 1 -> 17,[7; 12],11 -> 3 -> 5 -> 9 -> 15 -> 17,[32; 37],route_and_spectrum,,,not_migrated
8,True,17 -> 1 -> 18,[13; 18],17 -> 15 -> 1 -> 18,[13; 18],route_only,,,not_migrated
21,True,18 -> 1 -> 17,[19; 24],18 -> 1 -> 15 -> 17,[19; 24],route_only,,,not_migrated
22,True,17 -> 1 -> 5 -> 3,[25; 30],17 -> 15 -> 9 -> 5 -> 3,[40; 45],route_and_spectrum,,,not_migrated
26,True,17 -> 1 -> 18,[1; 6],17 -> 15 -> 1 -> 18,[25; 30],route_and_spectrum,,,not_migrated
