instance,num_demands,num_failure_links,solver,status,objective_value,num_affected_demands,num_recovered_affected_demands,recovery_ratio,num_migrated_demands,extra_migrations,num_failed_demands,num_route_only_migrations,num_route_and_spectrum_migrations,num_spectrum_only_migrations,num_unchanged_migrations,num_spectrum_changes,total_migrated_path_length,average_migrated_path_length,max_used_slot,running_time,migration_order
oP_L1_5x_Teff_iEuropean_18_40_d50_b_ofNLUS_f0_cd1_os1_gn0_b1_r0_cu0_p2,50,2,gurobi,OPTIMAL,0.0,10,10,1.0,10,0,0,0,10,0,0,10,16519.0,1651.9,75,27.663324,1 -> 4 -> 7 -> 8 -> 12 -> 14 -> 20 -> 34 -> 44 -> 48
oP_L1_5x_Teff_iEuropean_18_40_d50_b_ofNLUS_f0_cd1_os1_gn0_b1_r0_cu0_p2,50,2,greedy,FEASIBLE,,10,10,1.0,10,0,0,0,10,0,0,10,15889.0,1588.9,84,0.110965,34 -> 44 -> 4 -> 14 -> 8 -> 12 -> 7 -> 1 -> 48 -> 20
