instance,num_demands,num_failure_links,solver,status,objective_value,num_affected_demands,num_recovered_affected_demands,recovery_ratio,num_migrated_demands,extra_migrations,num_failed_demands,num_route_only_migrations,num_route_and_spectrum_migrations,num_spectrum_only_migrations,num_unchanged_migrations,num_spectrum_changes,total_migrated_path_length,average_migrated_path_length,max_used_slot,running_time,migration_order
oP_L1_5x_Teff_iEuropean_18_40_d30_b_ofNLUS_f0_cd1_os1_gn0_b1_r0_cu0_p2,30,1,gurobi,OPTIMAL,0.0,5,5,1.0,5,0,0,2,3,0,0,3,8506.0,1701.2,45,6.412538,4 -> 8 -> 21 -> 22 -> 26
oP_L1_5x_Teff_iEuropean_18_40_d30_b_ofNLUS_f0_cd1_os1_gn0_b1_r0_cu0_p2,30,1,greedy,FEASIBLE,,1,1,1.0,1,0,0,0,1,0,0,1,493.0,493.0,12,0.009295,1
