demand,affected,nominal_path,nominal_fs,gurobi_path,gurobi_fs,gurobi_migration_type,greedy_path,greedy_fs,greedy_migration_type
5,True,14 -> 18 -> 5 -> 10,[31; 36],14 -> 17 -> 15 -> 9 -> 10,[81; 86],route_and_spectrum,14 -> 17 -> 15 -> 9 -> 10,[37; 42],route_and_spectrum
7,True,5 -> 18 -> 14,[13; 18],5 -> 1 -> 14,[100; 105],route_and_spectrum,5 -> 1 -> 14,[49; 54],route_and_spectrum
37,True,5 -> 18,[25; 30],5 -> 1 -> 18,[41; 46],route_and_spectrum,5 -> 1 -> 18,[43; 48],route_and_spectrum
49,True,14 -> 18 -> 5 -> 10,[1; 6],14 -> 17 -> 15 -> 9 -> 10,[100; 105],route_and_spectrum,14 -> 17 -> 15 -> 9 -> 10,[49; 54],route_and_spectrum
56,True,5 -> 18,[19; 24],5 -> 1 -> 18,[87; 92],route_and_spectrum,5 -> 1 -> 18,[37; 42],route_and_spectrum
62,True,2 -> 5 -> 18 -> 14,[7; 12],2 -> 9 -> 15 -> 17 -> 14,[38; 43],route_and_spectrum,2 -> 9 -> 15 -> 17 -> 14,[43; 48],route_and_spectrum
